Elements(M)	 CPUtoGPU(ms)	 Kernel(ms)	 GPUtoCPU(ms)
1		 1.174720	 0.115744	 1.279584
2		 2.611616	 0.214016	 2.415584
4		 4.715040	 0.413088	 4.843136
8		 9.473536	 0.805888	 9.792704
16		 17.924095	 1.588864	 19.808832
32		 35.398594	 3.164160	 38.944225
64		 70.312286	 6.302624	 77.786621
128		 140.260895	 12.593152	 155.996384
256		 279.538727	 25.155424	 311.318848
