Elements(M)	 CPUtoGPU(ms)	 Kernel(ms)	 GPUtoCPU(ms)
1		 0.659456	 0.067424	 0.644512
2		 1.303936	 0.115808	 1.274208
4		 2.425888	 0.214016	 2.506336
8		 4.559424	 0.411168	 4.906016
16		 9.055776	 0.803456	 10.402592
32		 17.911808	 1.592320	 19.492416
64		 35.325951	 3.152896	 39.047234
128		 70.420479	 6.279936	 77.869057
256		 140.006851	 12.543232	 155.577820
